name,position,composite_score,production_score,reliability_score,sentiment_score,value_score,position_rank
Austin Ekeler,RB,0.519,0.443,0.759,0.5,0.197,35
Keon Coleman,WR,0.478,0.347,0.768,0.7,0.042,48
Dalton Kincaid,TE,0.571,0.5,0.776,0.5,0.385,14
Jared Goff,QB,0.465,0.267,0.749,0.6,0.467,23
Jaylen Wright,RB,0.412,0.164,0.612,0.5,0.967,52
Texans D/ST,D/ST,0.83,1.0,0.845,0.5,0.261,1
Cairo Santos,K,0.561,0.526,0.717,0.2,0.632,10
Christian McCaffrey,RB,0.92,0.967,0.997,0.6,0.77,3
Brock Bowers,TE,0.923,1.0,0.998,0.7,0.538,1
Davante Adams,WR,0.838,0.833,0.966,0.75,0.569,13
Mike Evans,WR,0.745,0.708,0.961,0.8,0.222,22
Kaleb Johnson,RB,0.659,0.656,0.811,0.4,0.475,22
Tetairoa McMillan,WR,0.632,0.556,0.804,0.85,0.278,33
Stefon Diggs,WR,0.469,0.431,0.604,0.6,0.125,42
Tyrone Tracy Jr.,RB,0.579,0.525,0.785,0.5,0.311,30
Travis Etienne Jr.,RB,0.49,0.393,0.766,0.5,0.131,38
Jayden Higgins,WR,0.48,0.278,0.732,0.7,0.514,53
Tre Harris,WR,0.369,0.083,0.652,0.5,0.819,67
Josh Downs,WR,0.477,0.264,0.685,0.6,0.792,54
Cameron Ward,QB,0.425,0.2,0.65,0.6,0.7,25
Brandon Aubrey,K,0.805,0.842,0.977,0.8,0.105,4
Giants D/ST,D/ST,0.59,0.609,0.525,0.5,0.783,10
CeeDee Lamb,WR,0.938,0.972,0.998,0.8,0.722,3
Drake London,WR,0.864,0.875,0.984,0.7,0.611,10
Lamar Jackson,QB,0.855,0.9,0.993,0.8,0.267,4
Alvin Kamara,RB,0.798,0.787,0.962,0.6,0.557,14
D'Andre Swift,RB,0.705,0.672,0.882,0.6,0.443,21
Rome Odunze,WR,0.627,0.569,0.793,0.6,0.444,32
Chris Godwin,WR,0.357,0.417,0.297,0.5,0.097,43
Tony Pollard,RB,0.63,0.574,0.8,0.6,0.426,27
Jaylen Warren,RB,0.582,0.508,0.774,0.6,0.361,31
Rashid Shaheed,WR,0.532,0.375,0.747,0.7,0.5,46
Dallas Goedert,TE,0.646,0.615,0.787,0.6,0.423,11
Tyler Allgeier,RB,0.446,0.23,0.664,0.6,0.721,48
Hollywood Brown,WR,0.378,0.236,0.517,0.3,0.75,56
Cameron Dicker,K,0.861,0.947,0.972,0.8,0.158,2
Bills D/ST,D/ST,0.584,0.565,0.658,0.6,0.435,11
Nick Chubb,RB,0.373,0.197,0.48,0.5,0.803,50
Saquon Barkley,RB,0.92,0.984,0.999,0.5,0.787,2
Jonathan Taylor,RB,0.888,0.902,0.994,0.7,0.689,7
Jalen Hurts,QB,0.883,0.933,0.988,0.9,0.3,3
DJ Moore,WR,0.738,0.722,0.918,0.6,0.417,21
Sam LaPorta,TE,0.813,0.885,0.986,0.6,0.154,4
Chris Olave,WR,0.575,0.514,0.783,0.6,0.236,36
Travis Kelce,TE,0.746,0.808,0.96,0.5,0.038,6
Ricky Pearsall,WR,0.527,0.403,0.762,0.8,0.167,44
J.K. Dobbins,RB,0.542,0.459,0.748,0.6,0.279,34
Darnell Mooney,WR,0.417,0.306,0.56,0.6,0.361,51
Rachaad White,RB,0.452,0.344,0.745,0.5,0.066,41
C.J. Stroud,QB,0.525,0.4,0.717,0.5,0.6,19
Najee Harris,RB,0.231,0.213,0.236,0.5,0.033,49
49ers D/ST,D/ST,0.349,0.13,0.545,0.6,0.609,21
Matt Gay,K,0.659,0.632,0.682,0.7,0.684,8
Jahmyr Gibbs,RB,0.93,0.951,0.999,0.8,0.754,4
Ladd McConkey,WR,0.759,0.819,0.79,0.6,0.528,14
Jaxon Smith-Njigba,WR,0.785,0.792,0.963,0.7,0.306,16
Terry McLaurin,WR,0.63,0.806,0.437,0.5,0.458,15
George Kittle,TE,0.886,0.923,0.994,0.8,0.462,3
TreVeyon Henderson,RB,0.675,0.623,0.824,0.7,0.459,24
Aaron Jones Sr.,RB,0.677,0.639,0.856,0.6,0.41,23
Khalil Shakir,WR,0.522,0.5,0.596,0.5,0.431,37
Dylan Sampson,RB,0.419,0.18,0.64,0.5,0.869,51
Isaac Guerendo,RB,0.346,0.148,0.483,0.7,0.574,53
Kyle Williams,WR,0.356,0.042,0.622,0.6,0.889,70
Seahawks D/ST,D/ST,0.718,0.783,0.759,0.6,0.391,6
Jake Elliott,K,0.712,0.737,0.924,0.4,0.263,6
Bo Nix,QB,0.705,0.7,0.915,0.7,0.1,10
Tyjae Spears,RB,0.501,0.426,0.739,0.4,0.262,36
Ja'Marr Chase,WR,0.956,1.0,0.999,0.8,0.764,1
Kyren Williams,RB,0.825,0.82,0.976,0.6,0.623,12
Tyreek Hill,WR,0.77,0.847,0.793,0.5,0.583,12
Joe Mixon,RB,0.558,0.705,0.422,0.4,0.393,19
Joe Burrow,QB,0.799,0.867,0.974,0.7,0.033,5
Travis Hunter,WR,0.608,0.542,0.864,0.7,0.083,34
Tucker Kraft,TE,0.664,0.654,0.821,0.6,0.308,10
Javonte Williams,RB,0.551,0.492,0.779,0.5,0.213,32
Brock Purdy,QB,0.707,0.733,0.856,0.6,0.233,9
Caleb Williams,QB,0.603,0.533,0.786,0.6,0.4,15
Jack Bech,WR,0.379,0.139,0.7,0.8,0.194,63
Jake Bates,K,0.829,0.895,0.987,0.8,0.053,3
Xavier Legette,WR,0.455,0.222,0.678,0.6,0.806,57
Eagles D/ST,D/ST,0.543,0.478,0.799,0.6,0.043,13
Colts D/ST,D/ST,0.607,0.652,0.552,0.5,0.652,9
Ashton Jeanty,RB,0.897,0.918,0.992,0.7,0.705,6
Trey McBride,TE,0.91,0.962,0.997,0.8,0.5,2
Chase Brown,RB,0.853,0.852,0.967,0.7,0.672,10
Rashee Rice,WR,0.521,0.528,0.672,0.5,0.056,35
Calvin Ridley,WR,0.704,0.681,0.832,0.6,0.542,24
Jakobi Meyers,WR,0.669,0.597,0.783,0.8,0.556,30
Matthew Golden,WR,0.558,0.472,0.788,0.7,0.153,39
Jauan Jennings,WR,0.49,0.458,0.602,0.4,0.403,40
Dak Prescott,QB,0.637,0.6,0.78,0.6,0.433,13
Zach Charbonnet,RB,0.442,0.295,0.732,0.7,0.049,44
Trey Benson,RB,0.498,0.328,0.669,0.5,0.836,42
Woody Marks,RB,0.356,0.033,0.605,0.6,0.984,60
Jalen McMillan,WR,0.338,0.028,0.631,0.5,0.847,71
Patriots D/ST,D/ST,0.686,0.696,0.777,0.7,0.348,8
Ka'imi Fairbairn,K,0.512,0.316,0.753,0.7,0.579,14
Puka Nacua,WR,0.919,0.958,0.997,0.7,0.708,4
Bucky Irving,RB,0.894,0.885,0.987,0.9,0.656,8
Tee Higgins,WR,0.864,0.861,0.979,0.8,0.597,11
James Conner,RB,0.764,0.721,0.947,0.7,0.492,18
Jerry Jeudy,WR,0.701,0.653,0.853,0.7,0.486,26
Baker Mayfield,QB,0.758,0.8,0.938,0.7,0.067,7
Evan Engram,TE,0.704,0.692,0.894,0.7,0.192,9
Emeka Egbuka,WR,0.374,0.181,0.775,0.5,0.014,60
Cam Skattebo,RB,0.434,0.41,0.593,0.4,0.115,37
Tyler Warren,TE,0.523,0.423,0.78,0.5,0.269,16
Broncos D/ST,D/ST,0.784,0.913,0.861,0.6,0.087,3
Harrison Butker,K,0.569,0.474,0.848,0.3,0.474,11
Keenan Allen,WR,0.537,0.389,0.649,0.6,0.875,45
Trevor Lawrence,QB,0.575,0.5,0.639,0.5,0.833,16
Jaydon Blue,RB,0.285,0.115,0.498,0.6,0.18,55
Justin Jefferson,WR,0.872,0.986,0.818,0.6,0.736,2
A.J. Brown,WR,0.819,0.903,0.813,0.6,0.639,8
Jayden Daniels,QB,0.893,1.0,0.987,0.6,0.367,1
Chuba Hubbard,RB,0.764,0.738,0.949,0.6,0.508,17
George Pickens,WR,0.642,0.611,0.852,0.6,0.208,29
David Montgomery,RB,0.656,0.607,0.894,0.6,0.246,25
David Njoku,TE,0.737,0.769,0.936,0.6,0.115,7
Jordan Addison,WR,0.399,0.319,0.656,0.4,0.028,50
Rhamondre Stevenson,RB,0.533,0.475,0.776,0.4,0.23,33
Jerome Ford,RB,0.408,0.262,0.728,0.5,0.082,46
J.J. McCarthy,QB,0.628,0.567,0.737,0.7,0.533,14
Cedric Tillman,WR,0.457,0.25,0.638,0.5,0.903,55
Ravens D/ST,D/ST,0.741,0.826,0.789,0.7,0.217,5
Jason Sanders,K,0.734,0.684,0.9,0.8,0.421,7
Kyle Pitts Sr.,TE,0.462,0.308,0.709,0.3,0.654,19
Justin Fields,QB,0.673,0.667,0.764,0.6,0.5,11
Jonnu Smith,TE,0.396,0.154,0.738,0.4,0.577,23
Tyler Loop,K,0.619,0.579,0.789,0.4,0.526,9
Cardinals D/ST,D/ST,0.519,0.435,0.645,0.6,0.478,14
Bhayshul Tuten,RB,0.297,0.049,0.669,0.7,0.016,59
Jets D/ST,D/ST,0.453,0.348,0.591,0.5,0.522,16
Packers D/ST,D/ST,0.385,0.217,0.567,0.5,0.565,19
Zach Ertz,TE,0.452,0.269,0.647,0.5,0.731,20
Matthew Stafford,QB,0.498,0.467,0.46,0.5,0.767,17
Pat Freiermuth,TE,0.367,0.115,0.642,0.4,0.769,24
Tua Tagovailoa,QB,0.538,0.433,0.639,0.5,0.8,18
Kareem Hunt,RB,0.358,0.066,0.634,0.5,0.852,58
Anthony Richardson Sr.,QB,0.284,0.067,0.457,0.4,0.733,29
Ray Davis,RB,0.398,0.082,0.63,0.8,0.885,57
Joshua Karty,K,0.504,0.368,0.654,0.5,0.737,13
Chiefs D/ST,D/ST,0.487,0.391,0.524,0.6,0.739,15
Rashod Bateman,WR,0.423,0.167,0.628,0.6,0.917,61
Buccaneers D/ST,D/ST,0.555,0.522,0.523,0.5,0.87,12
Evan McPherson,K,0.443,0.263,0.641,0.4,0.789,15
Michael Penix Jr.,QB,0.417,0.167,0.625,0.6,0.867,26
Isaiah Likely,TE,0.283,0.038,0.444,0.5,0.808,26
Bryce Young,QB,0.524,0.333,0.623,0.8,0.9,21
Wil Lutz,K,0.414,0.158,0.636,0.6,0.842,17
Roschon Johnson,RB,0.387,0.246,0.44,0.4,0.918,47
Wan'Dale Robinson,WR,0.437,0.208,0.62,0.5,0.972,58
Bears D/ST,D/ST,0.458,0.304,0.514,0.6,0.913,17
Cade Otton,TE,0.367,0.192,0.442,0.5,0.885,22
Dolphins D/ST,D/ST,0.35,0.087,0.514,0.7,0.826,22
Commanders D/ST,D/ST,0.315,0.043,0.513,0.7,0.696,23
Christian Kirk,WR,0.38,0.097,0.618,0.5,0.958,66
Quentin Johnston,WR,0.356,0.056,0.618,0.5,0.931,69
Mike Gesicki,TE,0.322,0.077,0.436,0.6,0.923,25
Braelon Allen,RB,0.377,0.098,0.615,0.5,0.934,56
DeAndre Hopkins,WR,0.336,0.014,0.615,0.5,0.944,72
Cowboys D/ST,D/ST,0.383,0.174,0.501,0.5,0.957,20
Chig Okonkwo,TE,0.537,0.385,0.615,0.6,1.0,17
Brenton Strange,TE,0.456,0.231,0.616,0.6,0.962,21
Blake Corum,RB,0.322,0.016,0.613,0.4,0.902,61
Brandon McManus,K,0.411,0.211,0.622,0.3,0.895,16
Sam Darnold,QB,0.394,0.133,0.614,0.5,0.933,27
MarShawn Lloyd,RB,0.34,0.131,0.432,0.5,0.951,54
Younghoe Koo,K,0.357,0.053,0.62,0.5,0.947,19
Daniel Carlson,K,0.399,0.105,0.62,0.6,1.0,18
Justice Hill,RB,0.483,0.279,0.612,0.6,1.0,45
Aaron Rodgers,QB,0.38,0.1,0.611,0.5,0.967,28
Rams D/ST,D/ST,0.429,0.261,0.496,0.5,1.0,18
Shedeur Sanders,QB,0.316,0.033,0.61,0.5,0.667,30
Tyler Lockett,WR,0.394,0.125,0.61,0.5,0.986,64
Geno Smith,QB,0.45,0.233,0.611,0.5,1.0,24
Romeo Doubs,WR,0.419,0.153,0.61,0.6,1.0,62
